Title,Company,Location,Date,Link
Data Analyst (f/m/x),Mondi Group,"Vienna, Vienna, Austria",2023-02-07,https://at.linkedin.com/jobs/view/data-analyst-f-m-x-at-mondi-group-3441356421?refId=KvA2ya3IuSGH59HJnTRnLA%3D%3D&trackingId=lEKfZdhAsFY%2FfRmxJCRjUQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Project and Data Analyst (m/f/d),Netconomy,"Vienna, Vienna, Austria",2023-01-31,https://at.linkedin.com/jobs/view/project-and-data-analyst-m-f-d-at-netconomy-3462089455?refId=KvA2ya3IuSGH59HJnTRnLA%3D%3D&trackingId=U%2BTvZEDbPBLFZYAdLpBvJA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Cloud Data Analyst (m/f/d),Siemens,"Vienna, Vienna, Austria",2023-02-09,https://at.linkedin.com/jobs/view/cloud-data-analyst-m-f-d-at-siemens-3355897745?refId=KvA2ya3IuSGH59HJnTRnLA%3D%3D&trackingId=%2BhIEOvygzm1gvzI0DN5YRg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Cloud Data Analyst (m/f/d),Siemens,"Vienna, Vienna, Austria",2023-02-09,https://at.linkedin.com/jobs/view/cloud-data-analyst-m-f-d-at-siemens-3355898688?refId=KvA2ya3IuSGH59HJnTRnLA%3D%3D&trackingId=X3bMrJ3Ch4RklOLQCp9FzA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Cloud Data Analyst (m/f/d),Siemens,"Vienna, Vienna, Austria",2023-02-06,https://at.linkedin.com/jobs/view/cloud-data-analyst-m-f-d-at-siemens-3435518004?refId=KvA2ya3IuSGH59HJnTRnLA%3D%3D&trackingId=r%2FKkX0dnjLqG12uFFv8tUw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Business Intelligence,CBRE,"Vienna, Vienna, Austria",2023-01-25,https://at.linkedin.com/jobs/view/data-analyst-business-intelligence-at-cbre-3454270351?refId=KvA2ya3IuSGH59HJnTRnLA%3D%3D&trackingId=2Ny3wP6kVBnxbbtZeW5Gsw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Data Analyst Finance TZ 20-30 Std. (w/m/d) @paybox Bank,A1 Telekom Austria AG,"Vienna, Vienna, Austria",2023-01-25,https://at.linkedin.com/jobs/view/junior-data-analyst-finance-tz-20-30-std-w-m-d-%40paybox-bank-at-a1-telekom-austria-ag-3416239194?refId=KvA2ya3IuSGH59HJnTRnLA%3D%3D&trackingId=Sh8u355pgMuhV3wqPWgO5Q%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Data & Business Analyst (m/w/d),RINGANA,"Vienna, Vienna, Austria",2023-02-08,https://at.linkedin.com/jobs/view/data-business-analyst-m-w-d-at-ringana-3404609751?refId=KvA2ya3IuSGH59HJnTRnLA%3D%3D&trackingId=2rcEYKYy4vFYqGYX3oltSw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
BI Data Analyst*in Controlling Insights (w/m/d),Österreichische Post AG,"Vienna, Vienna, Austria",2023-02-09,https://at.linkedin.com/jobs/view/bi-data-analyst-in-controlling-insights-w-m-d-at-%C3%B6sterreichische-post-ag-3476369071?refId=KvA2ya3IuSGH59HJnTRnLA%3D%3D&trackingId=oFs7TDnRlDiJokA4ccYN9Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Specialist,CoolPeople,"Vienna, Vienna, Austria",2023-01-17,https://at.linkedin.com/jobs/view/data-specialist-at-coolpeople-3436482415?refId=KvA2ya3IuSGH59HJnTRnLA%3D%3D&trackingId=p11rZKDUng25PzhbY3neXQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Intelligence Analyst (m/f/x),Raiffeisen Bank International AG,"Vienna, Vienna, Austria",2023-01-23,https://at.linkedin.com/jobs/view/business-intelligence-analyst-m-f-x-at-raiffeisen-bank-international-ag-3380085170?refId=KvA2ya3IuSGH59HJnTRnLA%3D%3D&trackingId=uI1LGicSlhzljnU2%2BDOFNg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
BI (Business Intelligence)- Mitarbeiter*in,Wiener Netze GmbH,"Vienna, Vienna, Austria",2023-01-24,https://at.linkedin.com/jobs/view/bi-business-intelligence-mitarbeiter-in-at-wiener-netze-gmbh-3452820258?refId=KvA2ya3IuSGH59HJnTRnLA%3D%3D&trackingId=j2sN2Msu9FI3oSKOIm1%2FjA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
